---------------------------------------------------------------------------------------------------
Date: 2/25/2026 -- 15:40:21 (uptime: 0d, 00h 00m 09s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1
capture.afpacket.polls                                       | Total                     | 535
capture.afpacket.poll_timeout                                | Total                     | 534
capture.afpacket.poll_data                                   | Total                     | 1
decoder.pkts                                                 | Total                     | 1
decoder.bytes                                                | Total                     | 70
decoder.ipv6                                                 | Total                     | 1
decoder.ethernet                                             | Total                     | 1
decoder.icmpv6                                               | Total                     | 1
decoder.avg_pkt_size                                         | Total                     | 70
decoder.max_pkt_size                                         | Total                     | 70
flow.total                                                   | Total                     | 1
flow.active                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1
flow.mgr.flows_notimeout                                     | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 2/25/2026 -- 15:40:29 (uptime: 0d, 00h 00m 17s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 2
capture.afpacket.polls                                       | Total                     | 1600
capture.afpacket.poll_timeout                                | Total                     | 1598
capture.afpacket.poll_data                                   | Total                     | 2
decoder.pkts                                                 | Total                     | 2
decoder.bytes                                                | Total                     | 140
decoder.ipv6                                                 | Total                     | 2
decoder.ethernet                                             | Total                     | 2
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 70
decoder.max_pkt_size                                         | Total                     | 70
flow.total                                                   | Total                     | 1
flow.active                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1
flow.mgr.flows_notimeout                                     | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
